province,x,y
Cà Mau,-20,-285
Kiên Giang,-80,-200
Bạc Liêu,13,-257
Sóc Trăng,20,-250
Hậu Giang,5,-230
Cần Thơ,0,-210
An Giang,-26,-190
Đồng Tháp,-5,-165
Vĩnh Long,35,-217
Trà Vinh,64,-240
Long An,35,-175
Tiền Giang,45,-196
Bến Tre,85,-215
Thành phố Hồ Chí Minh,60.0,-185.0
Tây Ninh,30,-125
Bình Dương,75,-145
Đồng Nai,100,-160
Bà Rịa Vũng Tàu,118,-195
Bình Phước,86,-106
Bình Thuận,153,-152
Lâm Đồng,152,-114
Đắk Nông,138,-78
Ninh Thuận,220,-120
Khánh Hòa,220,-63
Đắk Lắk,170,-40
Gia Lai,150,30
Phú Yên,223,-16
Bình Định,217,53
Quảng Ngãi,193,112
Kon Tum,152,89
Quảng Nam,138,153
Đà Nẵng,173,175
Thừa Thiên Huế,123,190
Quảng Trị,89,219
Quảng Bình,46,277
Hà Tĩnh,-66,-38
Nghệ An,-150,25
Thanh Hóa,-96,79
Hòa Bình,-94,100
Sơn La,-186,155
Ninh Bình,10,12
Nam Định,-20,89
Tuyên Quang,-98.0,212.0
Điện Biên,-243,195
Lai Châu,-235,225
Lào Cai,-169,226
Yên Bái,-138,188
Hà Giang,-128.0,255.0
Hà Nội,-65,140
Bắc Ninh,8,39
Hưng Yên,11,22
Vĩnh Phúc,-66,161
Hà Nam,-43,109
Thái Bình,-17,109
Hải Phòng,0,120
Hải Dương,-18,133
Bắc Giang,-30,160
Quảng Ninh,26,145
Lạng Sơn,-10,187
Cao Bằng,-42,257
Bắc Kạn,-60,183
Thái Nguyên,-69,160
Phú Thọ,-97,159
